state_name,old_district,old_district_total_area_sqkm,new_district,new_district_total_area_sqkm,intersection_area_sqkm,weight_old_to_new,weight_new_to_old
Andaman and Nicobar,Nicobar Islands,1726.8,Nicobars,1777.89,1527.39,1.0,1.0
Andaman and Nicobar,North and Middle Andaman,3406.53,North  & Middle Andaman,3457.34,3310.86,1.0,1.0
Andaman and Nicobar,South Andaman,2477.54,South Andaman,2532.59,2387.05,1.0,1.0
Andhra Pradesh,Anantapur,19226.52,Anantpur,10186.23,10051.32,0.535022,1.0
Andhra Pradesh,Anantapur,19226.52,Sri Sathya sai,8942.31,8735.42,0.464978,1.0
Andhra Pradesh,Chittoor,15168.79,Chittoor,6695.41,6530.23,0.445622,1.0
Andhra Pradesh,Chittoor,15168.79,Tirupati,8486.88,4431.71,0.30242,0.549626
Andhra Pradesh,Chittoor,15168.79,Annamayya,9014.22,3692.24,0.251958,0.415806
Andhra Pradesh,East Godavari,10754.82,Alluri Sitharama Raju,12680.4,3931.32,0.369047,0.380827
Andhra Pradesh,East Godavari,10754.82,Kakinada,3053.39,2998.17,0.281449,1.0
Andhra Pradesh,East Godavari,10754.82,Konaseema,2384.08,2338.76,0.219548,1.0
Andhra Pradesh,East Godavari,10754.82,East Godavari,2604.58,1384.37,0.129956,0.531513
Andhra Pradesh,Guntur,11410.92,Palnadu,7300.69,7160.74,0.633818,1.0
Andhra Pradesh,Guntur,11410.92,Guntur,2421.62,2415.58,0.21381,1.0
Andhra Pradesh,Guntur,11410.92,Bapatla,3879.54,1721.46,0.152372,0.449335
Andhra Pradesh,Krishna,8616.1,Krishna,3830.17,3748.98,0.444373,1.0
Andhra Pradesh,Krishna,8616.1,NTR,3288.83,3131.34,0.371163,1.0
Andhra Pradesh,Krishna,8616.1,Eluru,6585.73,1556.24,0.184464,0.26291
Andhra Pradesh,Kurnool,17778.4,Nandyal,9723.45,9631.59,0.551605,1.0
Andhra Pradesh,Kurnool,17778.4,Kurnool,7941.59,7829.43,0.448395,1.0
Andhra Pradesh,Nellore,13017.83,Sri Potti Sriramulu Nell*,10390.61,9104.56,0.714869,0.876839
Andhra Pradesh,Nellore,13017.83,Tirupati,8486.88,3631.42,0.285131,0.450374
Andhra Pradesh,Prakasam,17795.62,Prakasam,14271.8,14206.93,0.807421,1.0
Andhra Pradesh,Prakasam,17795.62,Bapatla,3879.54,2109.67,0.119899,0.550665
Andhra Pradesh,Prakasam,17795.62,Sri Potti Sriramulu Nell*,10390.61,1278.83,0.07268,0.123161
Andhra Pradesh,Srikakulam,6276.35,Srikakulam,4437.87,4305.97,0.692778,1.0
Andhra Pradesh,Srikakulam,6276.35,Vizianagaram,3952.3,1043.43,0.167875,0.267119
Andhra Pradesh,Srikakulam,6276.35,Parvathipuram Manyam,3595.84,866.11,0.139347,0.252738
Andhra Pradesh,Visakhapatnam,11371.9,Alluri Sitharama Raju,12680.4,6391.78,0.568539,0.619173
Andhra Pradesh,Visakhapatnam,11371.9,Anakapalli,4030.84,3967.15,0.352872,1.0
Andhra Pradesh,Visakhapatnam,11371.9,Visakhapatnam,994.74,883.54,0.07859,1.0
Andhra Pradesh,Vizianagaram,5726.04,Vizianagaram,3952.3,2862.8,0.527841,0.732881
Andhra Pradesh,Vizianagaram,5726.04,Parvathipuram Manyam,3595.84,2560.81,0.472159,0.747262
Andhra Pradesh,West Godavari,7757.04,Eluru,6585.73,4363.03,0.568433,0.73709
Andhra Pradesh,West Godavari,7757.04,West Godavari,2125.17,2092.3,0.272593,1.0
Andhra Pradesh,West Godavari,7757.04,East Godavari,2604.58,1220.21,0.158974,0.468487
Andhra Pradesh,Y.S.R.,15149.7,Y.S.R.,10119.78,9795.56,0.653776,1.0
Andhra Pradesh,Y.S.R.,15149.7,Annamayya,9014.22,5187.48,0.346224,0.584194
Arunachal Pradesh,Anjaw,6519.43,Anjaw,6015.17,5910.38,0.92651,1.0
Arunachal Pradesh,Anjaw,6519.43,Lohit,3054.57,468.81,0.07349,0.155629
Arunachal Pradesh,Changlang,5036.13,Changlang,4948.16,4768.45,1.0,1.0
Arunachal Pradesh,Dibang Valley,7514.14,Upper Dibang Valley,9577.08,7387.85,1.0,0.782233
Arunachal Pradesh,East Kameng,4091.64,East Kameng,4410.39,2200.91,0.540128,0.502764
Arunachal Pradesh,East Kameng,4091.64,Pakke Kessang,1909.89,1873.88,0.459872,1.0
Arunachal Pradesh,East Siang,3616.94,East Siang,1680.0,1608.61,0.452336,1.0
Arunachal Pradesh,East Siang,3616.94,Siang,3450.89,1425.34,0.400799,0.437165
Arunachal Pradesh,East Siang,3616.94,Lower Siang,1813.47,522.29,0.146865,0.292626
Arunachal Pradesh,Kurung Kumey,5721.83,Kurung Kumey,4444.16,4254.78,0.76269,1.0
Arunachal Pradesh,Kurung Kumey,5721.83,Kra Daadi,1760.27,1323.87,0.23731,0.758468
Arunachal Pradesh,Lohit,3440.26,Lohit,3054.57,2543.52,0.745511,0.844371
Arunachal Pradesh,Lohit,3440.26,Namsai,1341.85,868.26,0.254489,0.673522
Arunachal Pradesh,Longding,933.52,Longding,936.08,874.96,1.0,1.0
Arunachal Pradesh,Lower Dibang Valley,5564.18,Lower Dibang Valley,3540.68,3481.18,0.628611,1.0
Arunachal Pradesh,Lower Dibang Valley,5564.18,Upper Dibang Valley,9577.08,2056.71,0.371389,0.217767
Arunachal Pradesh,Lower Subansiri,3788.27,Lower Subansiri,1942.53,1772.5,0.497455,1.0
Arunachal Pradesh,Lower Subansiri,3788.27,Kamle,1378.99,1369.06,0.384228,1.0
