Crop_Name,State,District,Year,Rabi_Area,Rabi_Production,Rabi_Yield,Kharif_Area,Kharif_Production,Kharif_Yield,Autumn_Area,Autumn_Production,Autumn_Yield,Winter_Area,Winter_Production,Winter_Yield,Summer_Area,Summer_Production,Summer_Yield,Year_Area,Year_Production,Year_Yield
arhar_tur,Andhra Pradesh,Anantapur,1997,,,,11449.4708,1391.0572,0.1215,,,,,,,,,,,,
arhar_tur,Andhra Pradesh,Anantapur,1997,,,,9950.5292,1208.9428,0.1215,,,,,,,,,,,,
arhar_tur,Andhra Pradesh,Anantapur,1998,,,,14659.6028,4868.7002,0.3321,,,,,,,,,,,,
arhar_tur,Andhra Pradesh,Anantapur,1998,,,,12740.3972,4231.2998,0.3321,,,,,,,,,,,,
arhar_tur,Andhra Pradesh,Anantapur,2000,18.7258,4.8152,0.2571,16421.4302,4220.2535,0.257,,,,,,,,,,,,
arhar_tur,Andhra Pradesh,Anantapur,2000,16.2742,4.1848,0.2571,14271.5698,3667.7465,0.257,,,,,,,,,,,,
arhar_tur,Andhra Pradesh,Anantapur,2001,2.6751,0.535,0.2,14949.5847,4081.1478,0.273,,,,,,,,,,,,
arhar_tur,Andhra Pradesh,Anantapur,2001,2.3249,0.465,0.2,12992.4153,3546.8522,0.273,,,,,,,,,,,,
arhar_tur,Andhra Pradesh,Anantapur,2002,,,,17898.626,3508.1393,0.196,,,,,,,,,,,,
arhar_tur,Andhra Pradesh,Anantapur,2002,,,,15555.374,3048.8607,0.196,,,,,,,,,,,,
arhar_tur,Andhra Pradesh,Anantapur,2003,,,,22031.1359,3723.2181,0.169,,,,,,,,,,,,
arhar_tur,Andhra Pradesh,Anantapur,2003,,,,19146.8641,3235.7819,0.169,,,,,,,,,,,,
arhar_tur,Andhra Pradesh,Anantapur,2004,,,,17523.0405,4222.9286,0.241,,,,,,,,,,,,
arhar_tur,Andhra Pradesh,Anantapur,2004,,,,15228.9595,3670.0714,0.241,,,,,,,,,,,,
arhar_tur,Andhra Pradesh,Anantapur,2005,,,,18732.7253,12682.1615,0.677,,,,,,,,,,,,
arhar_tur,Andhra Pradesh,Anantapur,2005,,,,16280.2747,11021.8385,0.677,,,,,,,,,,,,
arhar_tur,Andhra Pradesh,Anantapur,2006,,,,14041.1174,1895.5829,0.135,,,,,,,,,,,,
arhar_tur,Andhra Pradesh,Anantapur,2006,,,,12202.8826,1647.4171,0.135,,,,,,,,,,,,
arhar_tur,Andhra Pradesh,Anantapur,2007,,,,19795.814,9095.374,0.4595,,,,,,,,,,,,
arhar_tur,Andhra Pradesh,Anantapur,2007,,,,17204.186,7904.626,0.4595,,,,,,,,,,,,
arhar_tur,Andhra Pradesh,Anantapur,2008,,,,18226.5945,7035.5393,0.386,,,,,,,,,,,,
arhar_tur,Andhra Pradesh,Anantapur,2008,,,,15840.4055,6114.4607,0.386,,,,,,,,,,,,
arhar_tur,Andhra Pradesh,Anantapur,2009,169.067,49.222,0.2911,10844.3609,3166.7952,0.292,,,,,,,,,,,,
arhar_tur,Andhra Pradesh,Anantapur,2009,146.933,42.778,0.2911,9424.6391,2752.2048,0.292,,,,,,,,,,,,
arhar_tur,Andhra Pradesh,Anantapur,2010,,,,35318.4073,5968.7054,0.169,,,,,,,,,,,,
arhar_tur,Andhra Pradesh,Anantapur,2010,,,,30694.5927,5187.2946,0.169,,,,,,,,,,,,
arhar_tur,Andhra Pradesh,Anantapur,2011,9.0954,0.535,0.0588,27675.618,2296.8494,0.083,,,,,,,,,,,,
