Crop_Name,State,District,Year,Rabi_Area,Rabi_Production,Rabi_Yield,Kharif_Area,Kharif_Production,Kharif_Yield,Autumn_Area,Autumn_Production,Autumn_Yield,Winter_Area,Winter_Production,Winter_Yield,Summer_Area,Summer_Production,Summer_Yield,Year_Area,Year_Production,Year_Yield
banana,Andhra Pradesh,Anantapur,2000,,,,,,,,,,,,,,,,411.4319,6256.0122,15.2055
banana,Andhra Pradesh,Anantapur,2000,,,,,,,,,,,,,,,,357.5681,5436.9878,15.2055
banana,Andhra Pradesh,Anantapur,2001,,,,,,,,,,,,,,,,846.4048,247.1802,0.292
banana,Andhra Pradesh,Anantapur,2001,,,,,,,,,,,,,,,,735.5952,214.8198,0.292
banana,Andhra Pradesh,Anantapur,2002,,,,,,,,,,,,,,,,10.1654,538.2321,52.9474
banana,Andhra Pradesh,Anantapur,2002,,,,,,,,,,,,,,,,8.8346,467.7679,52.9474
banana,Andhra Pradesh,Anantapur,2003,,,,,,,,,,,,,,,,19.2608,696.5986,36.1667
banana,Andhra Pradesh,Anantapur,2003,,,,,,,,,,,,,,,,16.7392,605.4014,36.1667
banana,Andhra Pradesh,Anantapur,2004,,,,,,,,,,,,,,,,173.3471,9040.2667,52.1512
banana,Andhra Pradesh,Anantapur,2004,,,,,,,,,,,,,,,,150.6529,7856.7333,52.1512
banana,Andhra Pradesh,Anantapur,2005,,,,,,,,,,,,,,,,162.1117,8683.9421,53.5677
banana,Andhra Pradesh,Anantapur,2005,,,,,,,,,,,,,,,,140.8883,7547.0579,53.5677
banana,Andhra Pradesh,Anantapur,2006,,,,,,,,,,,,,,,,154.6214,7565.7461,48.9308
banana,Andhra Pradesh,Anantapur,2006,,,,,,,,,,,,,,,,134.3786,6575.2539,48.9308
banana,Andhra Pradesh,Anantapur,2008,,,,,,,,,,,,,,,,1927.6843,86105.9057,44.6681
banana,Andhra Pradesh,Anantapur,2008,,,,,,,,,,,,,,,,1675.3157,74833.0943,44.6681
banana,Andhra Pradesh,Anantapur,2009,,,,,,,,,,,,,,,,2680.4602,142305.6866,53.09
banana,Andhra Pradesh,Anantapur,2009,,,,,,,,,,,,,,,,2329.5398,123675.3134,53.09
