Crop_Name,State,District,Year,Kharif_Area,Kharif_Production,Kharif_Yield,Year_Area,Year_Production,Year_Yield
coconut,Andhra Pradesh,Anantapur,2000,,,,485.8,2084.9647,4.2918
coconut,Andhra Pradesh,Anantapur,2000,,,,422.2,1812.0053,4.2918
coconut,Andhra Pradesh,Anantapur,2001,,,,455.3037,1633.7967,3.5884
coconut,Andhra Pradesh,Anantapur,2001,,,,395.6963,1419.9033,3.5884
coconut,Andhra Pradesh,Anantapur,2002,,,,464.9341,1974.8459,4.2476
coconut,Andhra Pradesh,Anantapur,2002,,,,404.0659,1716.3031,4.2476
coconut,Andhra Pradesh,Anantapur,2003,,,,448.8835,1757.9903,3.9164
coconut,Andhra Pradesh,Anantapur,2003,,,,390.1165,1527.8377,3.9164
coconut,Andhra Pradesh,Anantapur,2004,,,,447.8134,3431.2833,7.6623
coconut,Andhra Pradesh,Anantapur,2004,,,,389.1866,2982.0667,7.6623
coconut,Andhra Pradesh,Anantapur,2005,,,,447.2784,1797.1346,4.0179
coconut,Andhra Pradesh,Anantapur,2005,,,,388.7216,1561.8574,4.0179
coconut,Andhra Pradesh,Anantapur,2006,,,,422.6674,3426.3215,8.1064
coconut,Andhra Pradesh,Anantapur,2006,,,,367.3326,2977.7545,8.1064
coconut,Andhra Pradesh,Anantapur,2008,,,,420.5273,3820.8404,9.0858
coconut,Andhra Pradesh,Anantapur,2008,,,,365.4727,3320.6236,9.0858
coconut,Andhra Pradesh,Anantapur,2009,,,,387.8909,2272.6049,5.8589
coconut,Andhra Pradesh,Anantapur,2009,,,,337.1091,1975.0801,5.8589
coconut,Andhra Pradesh,Anantapur,2010,,,,420.5273,3668.1108,8.7226
coconut,Andhra Pradesh,Anantapur,2010,,,,365.4727,3187.8892,8.7226
coconut,Andhra Pradesh,Anantapur,2011,,,,478.8447,3833.6038,8.0059
coconut,Andhra Pradesh,Anantapur,2011,,,,416.1553,3331.7162,8.0059
coconut,Andhra Pradesh,Anantapur,2012,,,,345.6242,2980.6076,8.6238
coconut,Andhra Pradesh,Anantapur,2012,,,,300.3758,2590.3924,8.6238
coconut,Andhra Pradesh,Anantapur,2013,,,,295.3321,2123.5023,7.1902
coconut,Andhra Pradesh,Anantapur,2013,,,,256.6679,1845.4977,7.1902
coconut,Andhra Pradesh,Anantapur,2014,,,,367.5601,2996.1232,8.1514
coconut,Andhra Pradesh,Anantapur,2014,,,,319.4399,2603.8768,8.1514
coconut,Andhra Pradesh,Anantapur,2015,,,,373.9804,2996.1232,8.0114
coconut,Andhra Pradesh,Anantapur,2015,,,,325.0196,2603.8768,8.0114
coconut,Andhra Pradesh,Anantapur,2016,,,,185.6526,2568.1056,13.8329
coconut,Andhra Pradesh,Anantapur,2016,,,,161.3474,2231.8944,13.8329
coconut,Andhra Pradesh,Anantapur,2017,,,,297.4722,4601.1892,15.4676
coconut,Andhra Pradesh,Anantapur,2017,,,,258.5278,3998.8108,15.4676
coconut,Andhra Pradesh,Anantapur,2018,,,,239.6899,4119.6694,17.1875
coconut,Andhra Pradesh,Anantapur,2018,,,,208.3101,3580.3306,17.1875
coconut,Andhra Pradesh,Anantapur,2019,,,,191.5379,3524.7249,18.4022
coconut,Andhra Pradesh,Anantapur,2019,,,,166.4621,3063.2751,18.4022
coconut,Andhra Pradesh,Anantapur,2020,,,,223.1042,3904.5906,17.5012
coconut,Andhra Pradesh,Anantapur,2020,,,,193.8958,3393.4094,17.5012
coconut,Andhra Pradesh,Anantapur,2021,,,,225.7793,4145.8855,18.3626
coconut,Andhra Pradesh,Anantapur,2021,,,,196.2207,3603.1145,18.3626
coconut,Andhra Pradesh,Anantapur,2022,,,,65.2727,1195.7742,18.3197
coconut,Andhra Pradesh,Anantapur,2022,,,,56.7273,1039.2258,18.3197
coconut,Andhra Pradesh,Chittoor,2000,,,,1787.3898,7671.6768,4.2921
coconut,Andhra Pradesh,Chittoor,2000,,,,1213.0066,5206.3599,4.2921
coconut,Andhra Pradesh,Chittoor,2001,,,,1841.7557,6607.5939,3.5877
coconut,Andhra Pradesh,Chittoor,2001,,,,1249.9019,4484.2233,3.5877
