Crop_Name,State,District,Year,Rabi_Area,Rabi_Production,Rabi_Yield,Kharif_Area,Kharif_Production,Kharif_Yield,Autumn_Area,Autumn_Production,Autumn_Yield,Winter_Area,Winter_Production,Winter_Yield,Summer_Area,Summer_Production,Summer_Yield,Year_Area,Year_Production,Year_Yield
cotton_lint,Andhra Pradesh,Anantapur,1997,,,,3905.6606,5029.2068,1.2877,,,,,,,,,,,,
cotton_lint,Andhra Pradesh,Anantapur,1997,,,,3394.3394,4370.7932,1.2877,,,,,,,,,,,,
cotton_lint,Andhra Pradesh,Anantapur,1998,,,,7490.308,6901.7838,0.9214,,,,,,,,,,,,
cotton_lint,Andhra Pradesh,Anantapur,1998,,,,6509.692,5998.2162,0.9214,,,,,,,,,,,,
cotton_lint,Andhra Pradesh,Anantapur,1999,,,,5057.563,5623.0812,1.1118,,,,,,,,,,,,
cotton_lint,Andhra Pradesh,Anantapur,1999,,,,4395.437,4886.9188,1.1118,,,,,,,,,,,,
cotton_lint,Andhra Pradesh,Anantapur,2000,,,,6433.6396,8628.8348,1.3412,,,,,,,,,,,,
cotton_lint,Andhra Pradesh,Anantapur,2000,,,,5591.3604,7499.1652,1.3412,,,,,,,,,,,,
cotton_lint,Andhra Pradesh,Anantapur,2001,,,,4575.5081,4844.6242,1.0588,,,,,,,,,,,,
cotton_lint,Andhra Pradesh,Anantapur,2001,,,,3976.4919,4210.3758,1.0588,,,,,,,,,,,,
cotton_lint,Andhra Pradesh,Anantapur,2002,,,,4086.498,3822.1972,0.9353,,,,,,,,,,,,
cotton_lint,Andhra Pradesh,Anantapur,2002,,,,3551.502,3321.8028,0.9353,,,,,,,,,,,,
cotton_lint,Andhra Pradesh,Anantapur,2003,,,,2253.5127,2280.2638,1.0119,,,,,,,,,,,,
cotton_lint,Andhra Pradesh,Anantapur,2003,,,,1958.4873,1981.7362,1.0119,,,,,,,,,,,,
cotton_lint,Andhra Pradesh,Anantapur,2004,,,,4779.3515,3767.0899,0.7882,,,,,,,,,,,,
cotton_lint,Andhra Pradesh,Anantapur,2004,,,,4153.6485,3273.9101,0.7882,,,,,,,,,,,,
cotton_lint,Andhra Pradesh,Anantapur,2005,,,,1762.8975,1845.8259,1.047,,,,,,,,,,,,
cotton_lint,Andhra Pradesh,Anantapur,2005,,,,1532.1025,1604.1741,1.047,,,,,,,,,,,,
cotton_lint,Andhra Pradesh,Anantapur,2006,,,,805.7431,1037.9427,1.2882,,,,,,,,,,,,
cotton_lint,Andhra Pradesh,Anantapur,2006,,,,700.2569,902.0573,1.2882,,,,,,,,,,,,
cotton_lint,Andhra Pradesh,Anantapur,2007,,,,1605.066,1070.044,0.6667,,,,,,,,,,,,
cotton_lint,Andhra Pradesh,Anantapur,2007,,,,1394.934,929.956,0.6667,,,,,,,,,,,,
cotton_lint,Andhra Pradesh,Anantapur,2008,,,,861.9204,663.9623,0.7703,,,,,,,,,,,,
cotton_lint,Andhra Pradesh,Anantapur,2008,,,,749.0796,577.0377,0.7703,,,,,,,,,,,,
cotton_lint,Andhra Pradesh,Anantapur,2009,,,,1103.7504,655.937,0.5943,,,,,,,,,,,,
