Crop_Name,State,District,Year,Rabi_Area,Rabi_Production,Rabi_Yield,Kharif_Area,Kharif_Production,Kharif_Yield,Autumn_Area,Autumn_Production,Autumn_Yield,Winter_Area,Winter_Production,Winter_Yield,Summer_Area,Summer_Production,Summer_Yield,Year_Area,Year_Production,Year_Yield
ginger,Andhra Pradesh,Anantapur,2021,,,,1.6051,4.2802,2.6667,,,,,,,,,,,,
ginger,Andhra Pradesh,Anantapur,2021,,,,1.3949,3.7198,2.6667,,,,,,,,,,,,
ginger,Andhra Pradesh,Anantapur,2022,,,,0.535,1.6051,3.0,,,,,,,,,,,,
ginger,Andhra Pradesh,Anantapur,2022,,,,0.465,1.3949,3.0,,,,,,,,,,,,
ginger,Andhra Pradesh,Chittoor,2020,,,,1.3369,2.6737,2.0,,,,,,,,,,,,
ginger,Andhra Pradesh,Chittoor,2020,,,,0.9073,1.8145,2.0,,,,,,,,,,,,
ginger,Andhra Pradesh,Chittoor,2021,,,,1.3369,3.565,2.6667,,,,,,,,,,,,
ginger,Andhra Pradesh,Chittoor,2021,,,,0.9073,2.4194,2.6667,,,,,,,,,,,,
ginger,Andhra Pradesh,Chittoor,2022,,,,0.8912,2.6737,3.0,,,,,,,,,,,,
ginger,Andhra Pradesh,Chittoor,2022,,,,0.6048,1.8145,3.0,,,,,,,,,,,,
ginger,Andhra Pradesh,East Godavari,2005,,,,,,,,,,,,,,,,1.0687,2.9461,2.7568
ginger,Andhra Pradesh,East Godavari,2005,,,,,,,,,,,,,,,,1.9701,5.3475,2.7143
ginger,Andhra Pradesh,East Godavari,2005,,,,,,,,,,,,,,,,1.5368,4.1714,2.7143
ginger,Andhra Pradesh,East Godavari,2006,,,,,,,,,,,,,,,,2.1815,6.0965,2.7947
ginger,Andhra Pradesh,East Godavari,2006,,,,,,,,,,,,,,,,1.9701,5.629,2.8571
ginger,Andhra Pradesh,East Godavari,2006,,,,,,,,,,,,,,,,1.5368,4.391,2.8571
ginger,Andhra Pradesh,East Godavari,2008,,,,,,,,,,,,,,,,1.0396,3.2489,3.125
ginger,Andhra Pradesh,East Godavari,2008,,,,,,,,,,,,,,,,2.2516,7.0362,3.125
ginger,Andhra Pradesh,East Godavari,2008,,,,,,,,,,,,,,,,1.7564,5.4887,3.125
ginger,Andhra Pradesh,East Godavari,2010,,,,,,,,,,,,,,,,0.3179,3.0205,9.5
ginger,Andhra Pradesh,East Godavari,2011,,,,,,,,,,,,,,,,1.9077,17.6461,9.25
ginger,Andhra Pradesh,East Godavari,2016,0.5198,1.4295,2.75,2.0793,5.4582,2.625,,,,,,,,,,,,
ginger,Andhra Pradesh,East Godavari,2016,1.1258,3.0959,2.75,4.5032,11.8209,2.625,,,,,,,,,,,,
ginger,Andhra Pradesh,East Godavari,2016,0.8782,2.415,2.75,3.5128,9.221,2.625,,,,,,,,,,,,
ginger,Andhra Pradesh,East Godavari,2017,,,,0.3179,0.3179,1.0,,,,,,,,,,,,
ginger,Andhra Pradesh,East Godavari,2018,,,,0.7949,1.4308,1.8,,,,,,,,,,,,
ginger,Andhra Pradesh,East Godavari,2019,,,,4.9282,10.6513,2.1613,,,,,,,,,,,,
ginger,Andhra Pradesh,East Godavari,2020,,,,0.3899,0.7797,2.0,,,,,,,,,,,,
ginger,Andhra Pradesh,East Godavari,2020,,,,0.8443,1.6887,2.0,,,,,,,,,,,,
ginger,Andhra Pradesh,East Godavari,2020,,,,0.6586,1.3173,2.0,,,,,,,,,,,,
ginger,Andhra Pradesh,East Godavari,2021,,,,0.159,0.4769,3.0,,,,,,,,,,,,
ginger,Andhra Pradesh,Guntur,2012,,,,0.9592,7.4337,7.75,,,,,,,,,,,,
ginger,Andhra Pradesh,Guntur,2015,0.1199,0.3597,3.0,,,,,,,,,,,,,,,
ginger,Andhra Pradesh,Guntur,2020,,,,2.6353,4.9983,1.8967,,,,,,,,,,,,
ginger,Andhra Pradesh,Guntur,2020,,,,2.3519,4.49,1.9091,,,,,,,,,,,,
ginger,Andhra Pradesh,Guntur,2020,,,,6.972,13.3102,1.9091,,,,,,,,,,,,
ginger,Andhra Pradesh,Guntur,2021,,,,0.1199,0.3597,3.0,,,,,,,,,,,,
ginger,Andhra Pradesh,Krishna,2000,,,,,,,,,,,,,,,,6.6656,12.4424,1.8667
ginger,Andhra Pradesh,Krishna,2000,,,,,,,,,,,,,,,,5.5674,10.3926,1.8667
ginger,Andhra Pradesh,Krishna,2001,,,,,,,,,,,,,,,,6.2212,16.4418,2.6429
ginger,Andhra Pradesh,Krishna,2001,,,,,,,,,,,,,,,,5.1963,13.733,2.6429
ginger,Andhra Pradesh,Krishna,2002,,,,,,,,,,,,,,,,5.3325,8.8875,1.6667
ginger,Andhra Pradesh,Krishna,2002,,,,,,,,,,,,,,,,4.454,7.4233,1.6667
ginger,Andhra Pradesh,Krishna,2003,,,,,,,,,,,,,,,,5.7768,16.4418,2.8462
ginger,Andhra Pradesh,Krishna,2003,,,,,,,,,,,,,,,,4.8251,13.733,2.8462
ginger,Andhra Pradesh,Krishna,2004,,,,,,,,,,,,,,,,3.555,9.7762,2.75
ginger,Andhra Pradesh,Krishna,2004,,,,,,,,,,,,,,,,2.9693,8.1656,2.75
ginger,Andhra Pradesh,Krishna,2005,,,,,,,,,,,,,,,,15.1087,41.7711,2.7647
ginger,Andhra Pradesh,Krishna,2005,,,,,,,,,,,,,,,,12.6195,34.8893,2.7647
ginger,Andhra Pradesh,Krishna,2006,,,,,,,,,,,,,,,,9.3318,26.218,2.8095
ginger,Andhra Pradesh,Krishna,2006,,,,,,,,,,,,,,,,7.7944,21.8986,2.8095
ginger,Andhra Pradesh,Krishna,2008,,,,,,,,,,,,,,,,9.3318,22.2186,2.381
ginger,Andhra Pradesh,Krishna,2008,,,,,,,,,,,,,,,,7.7944,18.5582,2.381
ginger,Andhra Pradesh,Krishna,2009,,,,,,,,,,,,,,,,25.3293,49.3254,1.9474
ginger,Andhra Pradesh,Krishna,2009,,,,,,,,,,,,,,,,21.1563,41.1991,1.9474
ginger,Andhra Pradesh,Krishna,2010,,,,,,,,,,,,,,,,19.108,178.1936,9.3256
ginger,Andhra Pradesh,Krishna,2010,,,,,,,,,,,,,,,,15.96,148.8364,9.3256
ginger,Andhra Pradesh,Krishna,2011,,,,,,,,,,,,,,,,24.4405,225.7415,9.2364
ginger,Andhra Pradesh,Krishna,2011,,,,,,,,,,,,,,,,20.414,188.5508,9.2364
ginger,Andhra Pradesh,Krishna,2012,,,,23.5518,183.9704,7.8113,,,,,,,,,,,,
ginger,Andhra Pradesh,Krishna,2012,,,,19.6716,153.6615,7.8113,,,,,,,,,,,,
ginger,Andhra Pradesh,Krishna,2013,,,,23.5518,155.9749,6.6226,,,,,,,,,,,,
ginger,Andhra Pradesh,Krishna,2013,,,,19.6716,130.2782,6.6226,,,,,,,,,,,,
ginger,Andhra Pradesh,Krishna,2014,,,,23.5518,146.6431,6.2264,,,,,,,,,,,,
ginger,Andhra Pradesh,Krishna,2014,,,,19.6716,122.4838,6.2264,,,,,,,,,,,,
ginger,Andhra Pradesh,Krishna,2015,,,,0.4444,2.2219,5.0,,,,,,,,,,,,
ginger,Andhra Pradesh,Krishna,2015,,,,0.3712,1.8558,5.0,,,,,,,,,,,,
ginger,Andhra Pradesh,Krishna,2017,,,,0.4444,0.4444,1.0,,,,,,,,,,,,
ginger,Andhra Pradesh,Krishna,2017,,,,0.3712,0.3712,1.0,,,,,,,,,,,,
ginger,Andhra Pradesh,Krishna,2018,,,,10.2206,18.6637,1.8261,,,,,,,,,,,,
ginger,Andhra Pradesh,Krishna,2018,,,,8.5367,15.5888,1.8261,,,,,,,,,,,,
ginger,Andhra Pradesh,Krishna,2020,,,,0.4444,0.8887,2.0,,,,,,,,,,,,
ginger,Andhra Pradesh,Krishna,2020,,,,0.3712,0.7423,2.0,,,,,,,,,,,,
ginger,Andhra Pradesh,Krishna,2021,,,,4.4437,11.9981,2.7,,,,,,,,,,,,
ginger,Andhra Pradesh,Krishna,2021,,,,3.7116,10.0214,2.7,,,,,,,,,,,,
ginger,Andhra Pradesh,Kurnool,2006,,,,,,,,,,,,,,,,0.4484,1.3452,3.0
ginger,Andhra Pradesh,Kurnool,2006,,,,,,,,,,,,,,,,0.5516,1.6548,3.0
ginger,Andhra Pradesh,Kurnool,2014,16.1422,46.1847,2.8611,,,,,,,,,,,,,,,
ginger,Andhra Pradesh,Kurnool,2014,19.8578,56.8153,2.8611,,,,,,,,,,,,,,,
ginger,Andhra Pradesh,Kurnool,2015,,,,8.9679,23.7649,2.65,,,,,,,,,,,,
ginger,Andhra Pradesh,Kurnool,2015,,,,11.0321,29.2351,2.65,,,,,,,,,,,,
ginger,Andhra Pradesh,Kurnool,2017,,,,0.4484,0.4484,1.0,,,,,,,,,,,,
ginger,Andhra Pradesh,Kurnool,2017,,,,0.5516,0.5516,1.0,,,,,,,,,,,,
ginger,Andhra Pradesh,Kurnool,2020,,,,0.4484,0.8968,2.0,,,,,,,,,,,,
ginger,Andhra Pradesh,Kurnool,2020,,,,0.5516,1.1032,2.0,,,,,,,,,,,,
ginger,Andhra Pradesh,Kurnool,2021,,,,0.4484,1.3452,3.0,,,,,,,,,,,,
ginger,Andhra Pradesh,Kurnool,2021,,,,0.5516,1.6548,3.0,,,,,,,,,,,,
ginger,Andhra Pradesh,Nellore,2012,,,,0.5814,4.5062,7.75,,,,,,,,,,,,
ginger,Andhra Pradesh,Nellore,2015,0.0727,0.218,3.0,,,,,,,,,,,,,,,
ginger,Andhra Pradesh,Nellore,2020,,,,0.5814,1.0902,1.875,,,,,,,,,,,,
ginger,Andhra Pradesh,Nellore,2021,,,,0.0727,0.218,3.0,,,,,,,,,,,,
ginger,Andhra Pradesh,Prakasam,2012,,,,6.4594,50.0601,7.75,,,,,,,,,,,,
ginger,Andhra Pradesh,Prakasam,2015,0.8074,2.4223,3.0,,,,,,,,,,,,,,,
ginger,Andhra Pradesh,Prakasam,2020,,,,6.4594,12.1113,1.875,,,,,,,,,,,,
ginger,Andhra Pradesh,Prakasam,2021,,,,0.8074,2.4223,3.0,,,,,,,,,,,,
ginger,Andhra Pradesh,Srikakulam,2000,,,,,,,,,,,,,,,,99.76,189.1284,1.8958
ginger,Andhra Pradesh,Srikakulam,2001,,,,,,,,,,,,,,,,90.7539,239.0084,2.6336
ginger,Andhra Pradesh,Srikakulam,2002,,,,,,,,,,,,,,,,96.9889,158.6462,1.6357
ginger,Andhra Pradesh,Srikakulam,2003,,,,,,,,,,,,,,,,96.9889,275.7256,2.8429
ginger,Andhra Pradesh,Srikakulam,2004,,,,,,,,,,,,,,,,99.0673,270.8762,2.7343
ginger,Andhra Pradesh,Srikakulam,2005,,,,,,,,,,,,,,,,96.2961,265.334,2.7554
ginger,Andhra Pradesh,Srikakulam,2006,,,,,,,,,,,,,,,,96.2961,270.8762,2.8129
ginger,Andhra Pradesh,Srikakulam,2008,,,,,,,,,,,,,,,,96.2961,202.2912,2.1007
ginger,Andhra Pradesh,Srikakulam,2009,,,,,,,,,,,,,,,,57.5006,112.23,1.9518
ginger,Andhra Pradesh,Srikakulam,2010,,,,,,,,,,,,,,,,52.6511,491.1796,9.3289
ginger,Andhra Pradesh,Srikakulam,2011,,,,,,,,,,,,,,,,52.6511,486.3302,9.2368
ginger,Andhra Pradesh,Srikakulam,2012,,,,41.5667,324.9129,7.8167,,,,,,,,,,,,
