Crop_Name,State,District,Year,Rabi_Area,Rabi_Production,Rabi_Yield,Kharif_Area,Kharif_Production,Kharif_Yield,Autumn_Area,Autumn_Production,Autumn_Yield,Winter_Area,Winter_Production,Winter_Yield,Summer_Area,Summer_Production,Summer_Yield,Year_Area,Year_Production,Year_Yield
groundnut,Andhra Pradesh,Anantapur,1997,10807.4444,11609.9774,1.0743,348192.3176,122199.0248,0.351,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,1997,9392.5556,10090.0226,1.0743,302607.6824,106200.9752,0.351,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,1998,13857.0698,19153.7876,1.3822,404048.6144,464292.0916,1.1491,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,1998,12042.9302,16646.2124,1.3822,351151.3856,403507.9084,1.1491,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,1999,11655.4543,13567.0879,1.164,371768.062,133464.9831,0.359,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,1999,10129.5457,11790.9121,1.164,323096.938,115992.0169,0.359,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2000,12331.1871,12750.6443,1.034,423501.4793,473474.6742,1.118,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2000,10716.8129,11081.3557,1.034,368057.5207,411488.3258,1.118,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2001,10043.968,15618.3622,1.555,405921.1914,178605.3242,0.44,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2001,8729.032,13573.6378,1.555,352778.8086,155222.6758,0.44,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2002,9378.4006,9978.6953,1.064,391776.2798,139080.574,0.355,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2002,8150.5994,8672.3047,1.064,340485.7202,120872.426,0.355,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2003,8057.4313,10603.601,1.316,358964.9856,100510.303,0.28,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2003,7002.5687,9215.399,1.316,311970.0144,87351.697,0.28,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2004,7757.819,11629.2382,1.499,458954.1771,366245.5649,0.798,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2004,6742.181,10106.7618,1.499,398868.8229,318297.4351,0.798,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2005,11773.6941,15917.9745,1.352,469229.8096,193791.9237,0.413,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2005,10232.3059,13834.0255,1.352,407799.1904,168421.0763,0.413,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2006,9686.0383,10160.6028,1.049,344557.9132,23085.1293,0.067,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2006,8417.9617,8830.3972,1.049,299449.0868,20062.8707,0.067,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2007,11235.462,14980.616,1.3333,468679.272,589594.244,1.258,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2007,9764.538,13019.384,1.3333,407320.728,512405.756,1.258,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2008,9030.6363,13320.4427,1.475,456682.4737,40188.1775,0.088,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2008,7848.3637,11576.5573,1.475,396894.5263,34926.8225,0.088,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2009,10436.6742,15007.9021,1.438,273328.8292,60952.3814,0.223,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2009,9070.3258,13043.0979,1.438,237545.1708,52972.6186,0.223,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2010,10696.6948,18227.1295,1.704,435549.1047,239116.3124,0.549,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2010,9296.3052,15840.8705,1.704,378527.8953,207811.6876,0.549,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2011,10634.0973,17493.0793,1.645,392684.7471,93458.713,0.238,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2011,9241.9027,15202.9207,1.645,341275.2529,81223.287,0.238,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2012,11235.462,18190.748,1.619,379330.598,158366.512,0.4175,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2012,9764.538,15809.252,1.619,329669.402,137633.488,0.4175,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2013,9257.4857,14089.8044,1.522,380478.2202,153332.49,0.403,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2013,8045.5143,12245.1956,1.522,330666.7798,133258.51,0.403,,,,,,,,,,,,
groundnut,Andhra Pradesh,Anantapur,2014,8002.3241,13203.8079,1.65,294686.9075,79565.2617,0.27,,,,,,,,,,,,
