Crop_Name,State,District,Year,Rabi_Area,Rabi_Production,Rabi_Yield,Kharif_Area,Kharif_Production,Kharif_Yield,Autumn_Area,Autumn_Production,Autumn_Yield,Winter_Area,Winter_Production,Winter_Yield,Summer_Area,Summer_Production,Summer_Yield,Year_Area,Year_Production,Year_Yield
maize,Andhra Pradesh,Anantapur,1997,321.0132,1284.0528,4.0,1498.0616,2621.6078,1.75,,,,,,,,,,,,
maize,Andhra Pradesh,Anantapur,1997,278.9868,1115.9472,4.0,1301.9384,2278.3922,1.75,,,,,,,,,,,,
maize,Andhra Pradesh,Anantapur,1998,160.5066,856.0352,5.3333,1765.5726,3584.6474,2.0303,,,,,,,,,,,,
maize,Andhra Pradesh,Anantapur,1998,139.4934,743.9648,5.3333,1534.4274,3115.3526,2.0303,,,,,,,,,,,,
maize,Andhra Pradesh,Anantapur,1999,243.435,1178.6535,4.8418,1796.6039,5104.1099,2.841,,,,,,,,,,,,
maize,Andhra Pradesh,Anantapur,1999,211.565,1024.3465,4.8418,1561.3961,4435.8901,2.841,,,,,,,,,,,,
maize,Andhra Pradesh,Anantapur,2000,213.4738,1149.2273,5.3835,1859.2014,4841.4141,2.604,,,,,,,,,,,,
maize,Andhra Pradesh,Anantapur,2000,185.5262,998.7727,5.3835,1615.7986,4207.5859,2.604,,,,,,,,,,,,
maize,Andhra Pradesh,Anantapur,2001,239.1548,1547.8186,6.472,1426.9037,3814.1718,2.673,,,,,,,,,,,,
maize,Andhra Pradesh,Anantapur,2001,207.8452,1345.1814,6.472,1240.0963,3314.8282,2.673,,,,,,,,,,,,
maize,Andhra Pradesh,Anantapur,2002,689.1083,4779.3515,6.9356,1894.5129,1835.6605,0.9689,,,,,,,,,,,,
maize,Andhra Pradesh,Anantapur,2002,598.8917,4153.6485,6.9356,1646.4871,1595.3395,0.9689,,,,,,,,,,,,
maize,Andhra Pradesh,Anantapur,2003,648.4467,3631.1943,5.5998,3341.7474,5734.3658,1.716,,,,,,,,,,,,
maize,Andhra Pradesh,Anantapur,2003,563.5533,3155.8057,5.5998,2904.2526,4983.6342,1.716,,,,,,,,,,,,
maize,Andhra Pradesh,Anantapur,2004,1911.0986,13815.3381,7.229,1869.9019,5366.8057,2.8701,,,,,,,,,,,,
maize,Andhra Pradesh,Anantapur,2004,1660.9014,12006.6619,7.229,1625.0981,4664.1943,2.8701,,,,,,,,,,,,
maize,Andhra Pradesh,Anantapur,2005,767.7566,5735.9709,7.4711,3187.6611,11523.3038,3.615,,,,,,,,,,,,
maize,Andhra Pradesh,Anantapur,2005,667.2434,4985.0291,7.4711,2770.3389,10014.6962,3.615,,,,,,,,,,,,
