Crop_Name,State,District,Year,Rabi_Area,Rabi_Production,Rabi_Yield,Kharif_Area,Kharif_Production,Kharif_Yield,Autumn_Area,Autumn_Production,Autumn_Yield,Winter_Area,Winter_Production,Winter_Yield,Summer_Area,Summer_Production,Summer_Yield,Year_Area,Year_Production,Year_Yield
onion,Andhra Pradesh,Anantapur,1999,,,,,,,,,,,,,,,,946.9889,17315.452,18.2847
onion,Andhra Pradesh,Anantapur,1999,,,,,,,,,,,,,,,,823.0111,15048.548,18.2847
onion,Andhra Pradesh,Anantapur,2000,257.8806,6160.2433,23.888,590.1293,8276.7903,14.0254,,,,,,,,,,,,
onion,Andhra Pradesh,Anantapur,2000,224.1194,5353.7567,23.888,512.8707,7193.2097,14.0254,,,,,,,,,,,,
onion,Andhra Pradesh,Anantapur,2001,203.3084,4528.9612,22.2763,623.3006,10289.5431,16.5082,,,,,,,,,,,,
onion,Andhra Pradesh,Anantapur,2001,176.6916,3936.0388,22.2763,541.6994,8942.4569,16.5082,,,,,,,,,,,,
onion,Andhra Pradesh,Anantapur,2002,214.5438,3847.8782,17.9352,415.1771,4511.3055,10.866,,,,,,,,,,,,
onion,Andhra Pradesh,Anantapur,2002,186.4562,3344.1218,17.9352,360.8229,3920.6945,10.866,,,,,,,,,,,,
onion,Andhra Pradesh,Anantapur,2003,286.2368,5981.546,20.8972,452.6286,7089.0415,15.6619,,,,,,,,,,,,
onion,Andhra Pradesh,Anantapur,2003,248.7632,5198.454,20.8972,393.3714,6160.9585,15.6619,,,,,,,,,,,,
onion,Andhra Pradesh,Anantapur,2004,125.1951,2584.1563,20.641,708.3691,13281.3861,18.7492,,,,,,,,,,,,
onion,Andhra Pradesh,Anantapur,2004,108.8049,2245.8437,20.641,615.6309,11542.6139,18.7492,,,,,,,,,,,,
onion,Andhra Pradesh,Anantapur,2005,203.8434,4848.9044,23.7874,526.9967,9108.7496,17.2843,,,,,,,,,,,,
onion,Andhra Pradesh,Anantapur,2005,177.1566,4214.0956,23.7874,458.0033,7916.2504,17.2843,,,,,,,,,,,,
onion,Andhra Pradesh,Anantapur,2006,89.3487,2180.2146,24.4012,464.9341,5041.5123,10.8435,,,,,,,,,,,,
onion,Andhra Pradesh,Anantapur,2006,77.6513,1894.7854,24.4012,404.0659,4381.4877,10.8435,,,,,,,,,,,,
onion,Andhra Pradesh,Anantapur,2007,,,,1070.044,20330.836,19.0,,,,,,,,,,,,
onion,Andhra Pradesh,Anantapur,2007,,,,929.956,17669.164,19.0,,,,,,,,,,,,
onion,Andhra Pradesh,Anantapur,2008,92.5588,2209.1058,23.8671,736.1903,12589.6027,17.101,,,,,,,,,,,,
onion,Andhra Pradesh,Anantapur,2008,80.4412,1919.8942,23.8671,639.8097,10941.3973,17.101,,,,,,,,,,,,
onion,Andhra Pradesh,Anantapur,2009,123.0551,3030.8996,24.6304,889.7416,15949.5408,17.926,,,,,,,,,,,,
onion,Andhra Pradesh,Anantapur,2009,106.9449,2634.1004,24.6304,773.2584,13861.4592,17.926,,,,,,,,,,,,
