Crop_Name,State,District,Year,Rabi_Area,Rabi_Production,Rabi_Yield,Kharif_Area,Kharif_Production,Kharif_Yield,Autumn_Area,Autumn_Production,Autumn_Yield,Winter_Area,Winter_Production,Winter_Yield,Summer_Area,Summer_Production,Summer_Yield,Year_Area,Year_Production,Year_Yield
potato,Andhra Pradesh,Anantapur,2000,,,,,,,,,,,,,,,,2.1401,18.1907,8.5
potato,Andhra Pradesh,Anantapur,2000,,,,,,,,,,,,,,,,1.8599,15.8093,8.5
potato,Andhra Pradesh,Anantapur,2002,,,,,,,,,,,,,,,,1.07,9.0954,8.5
potato,Andhra Pradesh,Anantapur,2002,,,,,,,,,,,,,,,,0.93,7.9046,8.5
potato,Andhra Pradesh,Anantapur,2004,,,,,,,,,,,,,,,,1.07,10.7004,10.0
potato,Andhra Pradesh,Anantapur,2004,,,,,,,,,,,,,,,,0.93,9.2996,10.0
potato,Andhra Pradesh,Anantapur,2010,,,,,,,,,,,,,,,,11.2355,126.2652,11.2381
potato,Andhra Pradesh,Anantapur,2010,,,,,,,,,,,,,,,,9.7645,109.7348,11.2381
potato,Andhra Pradesh,Anantapur,2011,,,,,,,,,,,,,,,,9.6304,96.839,10.0556
potato,Andhra Pradesh,Anantapur,2011,,,,,,,,,,,,,,,,8.3696,84.161,10.0556
potato,Andhra Pradesh,Anantapur,2012,19.2608,339.2039,17.6111,,,,,,,,,,,,,,,
potato,Andhra Pradesh,Anantapur,2012,16.7392,294.7961,17.6111,,,,,,,,,,,,,,,
potato,Andhra Pradesh,Anantapur,2013,43.8718,630.7909,14.378,,,,,,,,,,,,,,,
potato,Andhra Pradesh,Anantapur,2013,38.1282,548.2091,14.378,,,,,,,,,,,,,,,
potato,Andhra Pradesh,Anantapur,2014,41.1967,771.5017,18.7273,8.0253,150.3412,18.7333,,,,,,,,,,,,
potato,Andhra Pradesh,Anantapur,2014,35.8033,670.4983,18.7273,6.9747,130.6588,18.7333,,,,,,,,,,,,
potato,Andhra Pradesh,Anantapur,2015,39.5916,250.3903,6.3243,11.2355,71.1579,6.3333,,,,,,,,,,,,
potato,Andhra Pradesh,Anantapur,2015,34.4084,217.6097,6.3243,9.7645,61.8421,6.3333,,,,,,,,,,,,
potato,Andhra Pradesh,Anantapur,2016,18.7258,242.365,12.9429,,,,,,,,,,,,,,,
potato,Andhra Pradesh,Anantapur,2016,16.2742,210.635,12.9429,,,,,,,,,,,,,,,
potato,Andhra Pradesh,Anantapur,2017,3.2101,27.8211,8.6667,,,,,,,,,,,,,,,
potato,Andhra Pradesh,Anantapur,2017,2.7899,24.1789,8.6667,,,,,,,,,,,,,,,
potato,Andhra Pradesh,Anantapur,2018,2.6751,25.146,9.4,,,,,,,,,,,,,,,
potato,Andhra Pradesh,Anantapur,2018,2.3249,21.854,9.4,,,,,,,,,,,,,,,
potato,Andhra Pradesh,Anantapur,2019,8.0253,105.9344,13.2,,,,,,,,,,,,,,,
potato,Andhra Pradesh,Anantapur,2019,6.9747,92.0656,13.2,,,,,,,,,,,,,,,
potato,Andhra Pradesh,Anantapur,2020,25.6811,488.4751,19.0208,0.535,10.1654,19.0,,,,,,,,,,,,
potato,Andhra Pradesh,Anantapur,2020,22.3189,424.5249,19.0208,0.465,8.8346,19.0,,,,,,,,,,,,
potato,Andhra Pradesh,Anantapur,2021,17.6557,148.7361,8.4242,9.6304,81.3233,8.4444,,,,,,,,,,,,
potato,Andhra Pradesh,Anantapur,2021,15.3443,129.2639,8.4242,8.3696,70.6767,8.4444,,,,,,,,,,,,
potato,Andhra Pradesh,Chittoor,2000,,,,,,,,,,,,,,,,426.4603,3643.8511,8.5444
potato,Andhra Pradesh,Chittoor,2000,,,,,,,,,,,,,,,,289.4159,2472.8883,8.5444
potato,Andhra Pradesh,Chittoor,2001,,,,,,,,,,,,,,,,456.3169,4209.791,9.2256
potato,Andhra Pradesh,Chittoor,2001,,,,,,,,,,,,,,,,309.6781,2856.9617,9.2256
potato,Andhra Pradesh,Chittoor,2002,,,,,,,,,,,,,,,,501.7704,4356.4007,8.6821
potato,Andhra Pradesh,Chittoor,2002,,,,,,,,,,,,,,,,340.5249,2956.4579,8.6821
potato,Andhra Pradesh,Chittoor,2003,,,,,,,,,,,,,,,,575.298,5367.517,9.33
potato,Andhra Pradesh,Chittoor,2003,,,,,,,,,,,,,,,,390.4242,3642.6489,9.33
potato,Andhra Pradesh,Chittoor,2004,,,,,,,,,,,,,,,,843.1168,8345.1632,9.898
potato,Andhra Pradesh,Chittoor,2004,,,,,,,,,,,,,,,,572.1786,5663.4193,9.898
potato,Andhra Pradesh,Chittoor,2005,,,,,,,,,,,,,,,,584.6561,5722.2321,9.7873
