Crop_Name,State,District,Year,Rabi_Area,Rabi_Production,Rabi_Yield,Kharif_Area,Kharif_Production,Kharif_Yield,Autumn_Area,Autumn_Production,Autumn_Yield,Winter_Area,Winter_Production,Winter_Yield,Summer_Area,Summer_Production,Summer_Yield,Year_Area,Year_Production,Year_Yield
rice,Andhra Pradesh,Anantapur,1997,9630.396,19956.3206,2.0722,19046.7832,40340.6588,2.118,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,1997,8369.604,17343.6794,2.0722,16553.2168,35059.3412,2.118,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,1998,14231.5852,34187.9058,2.4023,20491.3426,51790.1296,2.5274,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,1998,12368.4148,29712.0942,2.4023,17808.6574,45009.8704,2.5274,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,1999,10838.4757,24433.9197,2.2544,20326.0208,56221.1818,2.766,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,1999,9419.5243,21235.0803,2.2544,17664.9792,48860.8182,2.766,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2000,11823.4512,30622.5192,2.59,21350.0529,62961.389,2.949,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2000,10275.5488,26613.4808,2.59,18554.9471,54718.611,2.949,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2001,20394.5036,58267.1059,2.857,17590.4533,51152.9184,2.908,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2001,17724.4964,50638.8941,2.857,15287.5467,44456.0816,2.908,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2002,5863.8411,10947.6202,1.867,15550.9495,35487.4742,2.282,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2002,5096.1589,9514.3798,1.867,13515.0505,30841.5258,2.282,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2003,5792.1482,13623.2652,2.352,9370.9103,24017.6726,2.563,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2003,5033.8518,11839.7348,2.352,8144.0897,20873.3274,2.563,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2004,4943.6033,11568.2457,2.34,13019.7604,45504.1561,3.495,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2004,4296.3967,10053.7543,2.34,11315.2396,39546.8439,3.495,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2005,12381.4791,29740.2679,2.402,13379.8302,37436.5594,2.798,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2005,10760.5209,25846.7321,2.402,11628.1698,32535.4406,2.798,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2006,5802.8486,17106.7934,2.948,11957.2067,36074.9284,3.017,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2006,5043.1514,14867.2066,2.948,10391.7933,31352.0716,3.017,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2007,7490.308,19795.814,2.6429,16050.66,50827.09,3.1667,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2007,6509.692,17204.186,2.6429,13949.34,44172.91,3.1667,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2008,9852.9652,26652.1209,2.705,16214.3767,50621.1065,3.122,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2008,8563.0348,23162.8791,2.705,14091.6233,43993.8935,3.122,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2009,10394.4074,25091.9968,2.414,17241.619,54311.1533,3.15,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2009,9033.5926,21807.0032,2.414,14984.381,47200.8467,3.15,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2010,13283.5262,37127.3167,2.795,18711.3244,54575.9892,2.9167,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2010,11544.4738,32266.6833,2.795,16261.6756,47431.0108,2.9167,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2011,5857.4209,13665.5319,2.333,20181.0298,50576.1647,2.5061,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2011,5090.5791,11876.4681,2.333,17538.9702,43954.8353,2.5061,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2012,3745.154,9630.396,2.5714,11770.484,31031.276,2.6364,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2012,3254.846,8369.604,2.5714,10229.516,26968.724,2.6364,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2013,6571.6752,15279.1583,2.325,15041.6085,31768.0013,2.112,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2013,5711.3248,13278.8417,2.325,13072.3915,27608.9987,2.112,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2014,3505.9992,7692.0113,2.194,12122.5285,36464.4244,3.008,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2014,3047.0008,6684.9887,2.194,10535.4715,31690.5756,3.008,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2015,7270.949,19602.6711,2.696,10718.0957,32642.7623,3.0456,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2015,6319.051,17036.3289,2.696,9314.9043,28369.2377,3.0456,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2016,2623.7479,7112.0474,2.7106,9621.3006,23614.801,2.4544,,,,,,,,,,,,
rice,Andhra Pradesh,Anantapur,2016,2280.2521,6180.9526,2.7106,8361.6994,20523.199,2.4544,,,,,,,,,,,,
