Crop_Name,State,District,Year,Rabi_Area,Rabi_Production,Rabi_Yield,Kharif_Area,Kharif_Production,Kharif_Yield,Autumn_Area,Autumn_Production,Autumn_Yield,Winter_Area,Winter_Production,Winter_Yield,Summer_Area,Summer_Production,Summer_Yield,Year_Area,Year_Production,Year_Yield
soyabean,Andhra Pradesh,Anantapur,2002,,,,27.2861,0.0,0.0,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2002,,,,23.7139,0.0,0.0,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2003,,,,8.5604,9.6304,1.125,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2003,,,,7.4396,8.3696,1.125,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2004,,,,605.1099,369.7002,0.611,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2004,,,,525.8901,321.2998,0.611,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2005,,,,225.2443,124.1251,0.5511,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2005,,,,195.7557,107.8749,0.5511,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2008,,,,97.374,132.6855,1.3626,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2008,,,,84.626,115.3145,1.3626,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2009,,,,12.8405,10.7004,0.8333,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2009,,,,11.1595,9.2996,0.8333,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2010,,,,899.907,1533.3731,1.7039,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2010,,,,782.093,1332.6269,1.7039,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2011,,,,885.9964,1431.7189,1.6159,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2011,,,,770.0036,1244.2811,1.6159,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2012,,,,491.6852,894.0218,1.8183,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2012,,,,427.3148,776.9782,1.8183,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2013,,,,1284.5878,2068.3951,1.6102,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2013,,,,1116.4122,1797.6049,1.6102,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2014,,,,23.541,26.7511,1.1364,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2014,,,,20.459,23.2489,1.1364,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2015,,,,80.2533,86.1385,1.0733,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2015,,,,69.7467,74.8615,1.0733,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2016,,,,349.9044,125.7302,0.3593,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2016,,,,304.0956,109.2698,0.3593,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2017,,,,14.4456,14.4456,1.0,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2017,,,,12.5544,12.5544,1.0,,,,,,,,,,,,
soyabean,Andhra Pradesh,Anantapur,2018,,,,27.2861,29.9612,1.098,,,,,,,,,,,,
