Crop_Name,State,District,Year,Rabi_Area,Rabi_Production,Rabi_Yield,Kharif_Area,Kharif_Production,Kharif_Yield,Autumn_Area,Autumn_Production,Autumn_Yield,Winter_Area,Winter_Production,Winter_Yield,Summer_Area,Summer_Production,Summer_Yield,Year_Area,Year_Production,Year_Yield
sugarcane,Andhra Pradesh,Anantapur,1997,,,,374.5154,39003.1038,104.1429,,,,,,,,,,,,
sugarcane,Andhra Pradesh,Anantapur,1997,,,,325.4846,33896.8962,104.1429,,,,,,,,,,,,
sugarcane,Andhra Pradesh,Anantapur,1998,,,,,,,,,,,,,,,,374.5154,35257.9498,94.1429
sugarcane,Andhra Pradesh,Anantapur,1998,,,,,,,,,,,,,,,,325.4846,30642.0502,94.1429
sugarcane,Andhra Pradesh,Anantapur,1999,,,,,,,,,,,,,,,,472.9594,44474.2388,94.0339
sugarcane,Andhra Pradesh,Anantapur,1999,,,,,,,,,,,,,,,,411.0406,38651.7612,94.0339
sugarcane,Andhra Pradesh,Anantapur,2000,,,,,,,,,,,,,,,,151.9462,13586.8837,89.419
sugarcane,Andhra Pradesh,Anantapur,2000,,,,,,,,,,,,,,,,132.0538,11808.1163,89.419
sugarcane,Andhra Pradesh,Anantapur,2001,,,,,,,,,,,,,,,,262.1608,22722.3843,86.6735
sugarcane,Andhra Pradesh,Anantapur,2001,,,,,,,,,,,,,,,,227.8392,19747.6157,86.6735
sugarcane,Andhra Pradesh,Anantapur,2002,,,,,,,,,,,,,,,,176.0222,12027.8296,68.3313
sugarcane,Andhra Pradesh,Anantapur,2002,,,,,,,,,,,,,,,,152.9778,10453.1704,68.3313
sugarcane,Andhra Pradesh,Anantapur,2003,,,,,,,,,,,,,,,,242.9,17327.2225,71.3348
sugarcane,Andhra Pradesh,Anantapur,2003,,,,,,,,,,,,,,,,211.1,15058.7775,71.3348
sugarcane,Andhra Pradesh,Anantapur,2004,,,,,,,,,,,,,,,,214.0088,18229.2696,85.18
sugarcane,Andhra Pradesh,Anantapur,2004,,,,,,,,,,,,,,,,185.9912,15842.7304,85.18
