Crop_Name,State,District,Year,Rabi_Area,Rabi_Production,Rabi_Yield,Kharif_Area,Kharif_Production,Kharif_Yield,Summer_Area,Summer_Production,Summer_Yield,Year_Area,Year_Production,Year_Yield
tobacco,Andhra Pradesh,Anantapur,1997,,,,107.0044,107.0044,1.0,,,,,,
tobacco,Andhra Pradesh,Anantapur,1997,,,,92.9956,92.9956,1.0,,,,,,
tobacco,Andhra Pradesh,Anantapur,1998,,,,,,,,,,53.5022,53.5022,1.0
tobacco,Andhra Pradesh,Anantapur,1998,,,,,,,,,,46.4978,46.4978,1.0
tobacco,Andhra Pradesh,Anantapur,2000,,,,,,,,,,47.617,60.9925,1.2809
tobacco,Andhra Pradesh,Anantapur,2000,,,,,,,,,,41.383,53.0075,1.2809
tobacco,Andhra Pradesh,Anantapur,2001,,,,,,,,,,59.3874,59.3874,1.0
tobacco,Andhra Pradesh,Anantapur,2001,,,,,,,,,,51.6126,51.6126,1.0
tobacco,Andhra Pradesh,Anantapur,2002,,,,,,,,,,27.2861,48.152,1.7647
tobacco,Andhra Pradesh,Anantapur,2002,,,,,,,,,,23.7139,41.848,1.7647
tobacco,Andhra Pradesh,Anantapur,2003,,,,,,,,,,10.7004,13.3756,1.25
tobacco,Andhra Pradesh,Anantapur,2003,,,,,,,,,,9.2996,11.6244,1.25
tobacco,Andhra Pradesh,Anantapur,2004,,,,,,,,,,26.2161,28.3562,1.0816
tobacco,Andhra Pradesh,Anantapur,2004,,,,,,,,,,22.7839,24.6438,1.0816
tobacco,Andhra Pradesh,Anantapur,2005,,,,,,,,,,0.535,0.535,1.0
tobacco,Andhra Pradesh,Anantapur,2005,,,,,,,,,,0.465,0.465,1.0
tobacco,Andhra Pradesh,Anantapur,2008,,,,,,,,,,52.9672,84.5335,1.596
tobacco,Andhra Pradesh,Anantapur,2008,,,,,,,,,,46.0328,73.4665,1.596
tobacco,Andhra Pradesh,Anantapur,2009,,,,,,,,,,374.5154,630.7909,1.6843
tobacco,Andhra Pradesh,Anantapur,2009,,,,,,,,,,325.4846,548.2091,1.6843
tobacco,Andhra Pradesh,Anantapur,2010,,,,,,,,,,93.0938,150.8762,1.6207
tobacco,Andhra Pradesh,Anantapur,2010,,,,,,,,,,80.9062,131.1238,1.6207
tobacco,Andhra Pradesh,Anantapur,2011,,,,,,,,,,74.9031,120.915,1.6143
tobacco,Andhra Pradesh,Anantapur,2011,,,,,,,,,,65.0969,105.085,1.6143
tobacco,Andhra Pradesh,Anantapur,2013,97.909,165.3218,1.6885,3.2101,5.8852,1.8333,,,,,,
tobacco,Andhra Pradesh,Anantapur,2013,85.091,143.6782,1.6885,2.7899,5.1148,1.8333,,,,,,
tobacco,Andhra Pradesh,Anantapur,2014,182.4425,339.739,1.8622,8.0253,23.0059,2.8667,,,,,,
tobacco,Andhra Pradesh,Anantapur,2014,158.5575,295.261,1.8622,6.9747,19.9941,2.8667,,,,,,
tobacco,Andhra Pradesh,Anantapur,2015,107.5394,139.6407,1.2985,9.6304,17.1207,1.7778,,,,,,
tobacco,Andhra Pradesh,Anantapur,2015,93.4606,121.3593,1.2985,8.3696,14.8793,1.7778,,,,,,
tobacco,Andhra Pradesh,Anantapur,2016,24.611,37.9866,1.5435,12.8405,21.4009,1.6667,,,,,,
tobacco,Andhra Pradesh,Anantapur,2016,21.389,33.0134,1.5435,11.1595,18.5991,1.6667,,,,,,
tobacco,Andhra Pradesh,Anantapur,2017,8.5604,6.4203,0.75,8.5604,11.7705,1.375,,,,,,
tobacco,Andhra Pradesh,Anantapur,2017,7.4396,5.5797,0.75,7.4396,10.2295,1.375,,,,,,
tobacco,Andhra Pradesh,Anantapur,2018,5.8852,6.9553,1.1818,5.3502,6.4203,1.2,,,,,,
tobacco,Andhra Pradesh,Anantapur,2018,5.1148,6.0447,1.1818,4.6498,5.5797,1.2,,,,,,
tobacco,Andhra Pradesh,Anantapur,2019,1.07,2.1401,2.0,,,,,,,,,
tobacco,Andhra Pradesh,Anantapur,2019,0.93,1.8599,2.0,,,,,,,,,
tobacco,Andhra Pradesh,Anantapur,2020,6.4203,13.9106,2.1667,,,,,,,,,
tobacco,Andhra Pradesh,Anantapur,2020,5.5797,12.0894,2.1667,,,,,,,,,
tobacco,Andhra Pradesh,Anantapur,2021,4.8152,9.6304,2.0,0.535,1.07,2.0,,,,,,
tobacco,Andhra Pradesh,Anantapur,2021,4.1848,8.3696,2.0,0.465,0.93,2.0,,,,,,
tobacco,Andhra Pradesh,Anantapur,2022,6.4203,14.4456,2.25,,,,,,,,,
tobacco,Andhra Pradesh,Anantapur,2022,5.5797,12.5544,2.25,,,,,,,,,
tobacco,Andhra Pradesh,Chittoor,1999,,,,,,,,,,7.5756,7.5756,1.0
tobacco,Andhra Pradesh,Chittoor,1999,,,,,,,,,,5.1411,5.1411,1.0
tobacco,Andhra Pradesh,Chittoor,2000,,,,,,,,,,6.2387,5.7931,0.9286
tobacco,Andhra Pradesh,Chittoor,2000,,,,,,,,,,4.2339,3.9315,0.9286
tobacco,Andhra Pradesh,Chittoor,2001,,,,,,,,,,14.7055,16.9336,1.1515
tobacco,Andhra Pradesh,Chittoor,2001,,,,,,,,,,9.9799,11.492,1.1515
tobacco,Andhra Pradesh,Chittoor,2002,,,,,,,,,,29.4111,47.6816,1.6212
tobacco,Andhra Pradesh,Chittoor,2002,,,,,,,,,,19.9597,32.3589,1.6212
tobacco,Andhra Pradesh,Chittoor,2003,,,,,,,,,,0.8912,1.3369,1.5
tobacco,Andhra Pradesh,Chittoor,2003,,,,,,,,,,0.6048,0.9073,1.5
tobacco,Andhra Pradesh,Chittoor,2004,,,,,,,,,,1.7825,1.7825,1.0
tobacco,Andhra Pradesh,Chittoor,2004,,,,,,,,,,1.2097,1.2097,1.0
