Crop_Name,State,District,Year,Rabi_Area,Rabi_Production,Rabi_Yield,Kharif_Area,Kharif_Production,Kharif_Yield,Autumn_Area,Autumn_Production,Autumn_Yield,Winter_Area,Winter_Production,Winter_Yield,Summer_Area,Summer_Production,Summer_Yield,Year_Area,Year_Production,Year_Yield
turmeric,Andhra Pradesh,Anantapur,2000,,,,,,,,,,,,,,,,20.8659,145.526,6.9744
turmeric,Andhra Pradesh,Anantapur,2000,,,,,,,,,,,,,,,,18.1341,126.474,6.9744
turmeric,Andhra Pradesh,Anantapur,2001,,,,,,,,,,,,,,,,4.2802,21.4009,5.0
turmeric,Andhra Pradesh,Anantapur,2001,,,,,,,,,,,,,,,,3.7198,18.5991,5.0
turmeric,Andhra Pradesh,Anantapur,2004,,,,,,,,,,,,,,,,2.1401,19.2608,9.0
turmeric,Andhra Pradesh,Anantapur,2004,,,,,,,,,,,,,,,,1.8599,16.7392,9.0
turmeric,Andhra Pradesh,Anantapur,2005,,,,,,,,,,,,,,,,1.07,8.0253,7.5
turmeric,Andhra Pradesh,Anantapur,2005,,,,,,,,,,,,,,,,0.93,6.9747,7.5
turmeric,Andhra Pradesh,Anantapur,2006,,,,,,,,,,,,,,,,0.535,4.2802,8.0
turmeric,Andhra Pradesh,Anantapur,2006,,,,,,,,,,,,,,,,0.465,3.7198,8.0
turmeric,Andhra Pradesh,Anantapur,2008,,,,,,,,,,,,,,,,2.1401,21.4009,10.0
turmeric,Andhra Pradesh,Anantapur,2008,,,,,,,,,,,,,,,,1.8599,18.5991,10.0
turmeric,Andhra Pradesh,Anantapur,2010,,,,,,,,,,,,,,,,6.9553,54.5722,7.8462
turmeric,Andhra Pradesh,Anantapur,2010,,,,,,,,,,,,,,,,6.0447,47.4278,7.8462
turmeric,Andhra Pradesh,Anantapur,2011,,,,,,,,,,,,,,,,171.7421,1415.1332,8.2399
turmeric,Andhra Pradesh,Anantapur,2011,,,,,,,,,,,,,,,,149.2579,1229.8668,8.2399
turmeric,Andhra Pradesh,Anantapur,2012,,,,34.7764,389.496,11.2,,,,,,,,,,,,
turmeric,Andhra Pradesh,Anantapur,2012,,,,30.2236,338.504,11.2,,,,,,,,,,,,
turmeric,Andhra Pradesh,Anantapur,2013,,,,24.611,303.3575,12.3261,,,,,,,,,,,,
turmeric,Andhra Pradesh,Anantapur,2013,,,,21.389,263.6425,12.3261,,,,,,,,,,,,
turmeric,Andhra Pradesh,Anantapur,2014,,,,10.1654,119.3099,11.7368,,,,,,,,,,,,
turmeric,Andhra Pradesh,Anantapur,2014,,,,8.8346,103.6901,11.7368,,,,,,,,,,,,
turmeric,Andhra Pradesh,Anantapur,2015,,,,10.1654,80.7883,7.9474,,,,,,,,,,,,
turmeric,Andhra Pradesh,Anantapur,2015,,,,8.8346,70.2117,7.9474,,,,,,,,,,,,
turmeric,Andhra Pradesh,Anantapur,2018,,,,2.6751,,,,,,,,,,,,,,
turmeric,Andhra Pradesh,Anantapur,2018,,,,2.3249,,,,,,,,,,,,,,
turmeric,Andhra Pradesh,Chittoor,2000,,,,,,,,,,,,,,,,39.6604,276.2856,6.9663
turmeric,Andhra Pradesh,Chittoor,2000,,,,,,,,,,,,,,,,26.9154,187.5004,6.9663
turmeric,Andhra Pradesh,Chittoor,2001,,,,,,,,,,,,,,,,30.7479,151.9571,4.942
