Crop_Name,State,District,Year,Rabi_Area,Rabi_Production,Rabi_Yield,Kharif_Area,Kharif_Production,Kharif_Yield,Winter_Area,Winter_Production,Winter_Yield,Summer_Area,Summer_Production,Summer_Yield,Year_Area,Year_Production,Year_Yield
wheat,Andhra Pradesh,Anantapur,1997,160.5066,107.0044,0.6667,,,,,,,,,,,,
wheat,Andhra Pradesh,Anantapur,1997,139.4934,92.9956,0.6667,,,,,,,,,,,,
wheat,Andhra Pradesh,Anantapur,1998,214.0088,107.0044,0.5,,,,,,,,,,,,
wheat,Andhra Pradesh,Anantapur,1998,185.9912,92.9956,0.5,,,,,,,,,,,,
wheat,Andhra Pradesh,Anantapur,1999,234.8747,157.2965,0.6697,,,,,,,,,,,,
wheat,Andhra Pradesh,Anantapur,1999,204.1253,136.7035,0.6697,,,,,,,,,,,,
wheat,Andhra Pradesh,Anantapur,2000,278.2114,158.9015,0.5712,,,,,,,,,,,,
wheat,Andhra Pradesh,Anantapur,2000,241.7886,138.0985,0.5712,,,,,,,,,,,,
wheat,Andhra Pradesh,Anantapur,2001,164.2518,113.9597,0.6938,,,,,,,,,,,,
wheat,Andhra Pradesh,Anantapur,2001,142.7482,99.0403,0.6938,,,,,,,,,,,,
wheat,Andhra Pradesh,Anantapur,2002,193.678,178.1623,0.9199,,,,,,,,,,,,
wheat,Andhra Pradesh,Anantapur,2002,168.322,154.8377,0.9199,,,,,,,,,,,,
wheat,Andhra Pradesh,Anantapur,2003,221.4991,65.8077,0.2971,,,,,,,,,,,,
wheat,Andhra Pradesh,Anantapur,2003,192.5009,57.1923,0.2971,,,,,,,,,,,,
wheat,Andhra Pradesh,Anantapur,2004,210.2636,47.0819,0.2239,,,,,,,,,,,,
wheat,Andhra Pradesh,Anantapur,2004,182.7364,40.9181,0.2239,,,,,,,,,,,,
wheat,Andhra Pradesh,Anantapur,2005,158.9015,93.6288,0.5892,,,,,,,,,,,,
wheat,Andhra Pradesh,Anantapur,2005,138.0985,81.3712,0.5892,,,,,,,,,,,,
wheat,Andhra Pradesh,Anantapur,2006,101.6542,26.7511,0.2632,,,,,,,,,,,,
wheat,Andhra Pradesh,Anantapur,2006,88.3458,23.2489,0.2632,,,,,,,,,,,,
wheat,Andhra Pradesh,Anantapur,2008,87.7436,116.0998,1.3232,,,,,,,,,,,,
wheat,Andhra Pradesh,Anantapur,2008,76.2564,100.9002,1.3232,,,,,,,,,,,,
wheat,Andhra Pradesh,Anantapur,2009,95.7689,51.8971,0.5419,,,,,,,,,,,,
wheat,Andhra Pradesh,Anantapur,2009,83.2311,45.1029,0.5419,,,,,,,,,,,,
wheat,Andhra Pradesh,Anantapur,2010,70.0879,91.4888,1.3053,,,,,,,,,,,,
wheat,Andhra Pradesh,Anantapur,2010,60.9121,79.5112,1.3053,,,,,,,,,,,,
wheat,Andhra Pradesh,Anantapur,2011,40.1266,53.5022,1.3333,,,,,,,,,,,,
